dist,count_sum
0,1208990
1,37721
2,12561
3,8136
4,12502
5,9591
6,3285
7,8042
8,8078
9,3391
10,12725
11,3275
12,130
13,4850
14,3329
15,6424
16,1737
17,4780
18,81
19,3250
20,1683
21,1673
22,1687
23,1650
24,1684
25,3210
26,102
27,6433
28,1640
29,52
30,49
31,47
32,1629
33,60
34,74
35,1630
36,1670
37,1610
38,46
39,1655
40,88
41,1703
42,3294
43,3318
44,3273
45,4876
46,1678
47,1687
48,1691
49,1641
50,73
51,73
52,1684
53,1714
54,3241
55,72
56,1688
57,1678
58,1671
59,3243
60,83
61,1640
62,71
63,79
64,1651
65,1663
66,75
67,73
68,75
69,1658
70,3232
71,47
72,78
73,1650
74,77
75,1661
76,67
77,1696
78,3303
79,3192
80,59
81,1698
82,1610
83,40
84,50
85,90
86,1625
87,88
88,1602
89,58
90,1666
91,3210
92,70
93,66
94,1650
95,55
96,52
97,32
98,51
99,35
100,51
101,56
102,74
103,1636
104,1662
105,1691
106,1645
107,73
108,62
109,1675
110,118
111,3217
112,70
113,88
114,3259
115,1650
116,1647
117,64
118,66
119,46
120,72
121,66
122,89
123,3221
124,92
125,1630
126,74
127,1674
128,110
129,1704
130,3192
131,79
132,96
133,3227
134,62
135,52
136,59
137,63
138,1643
139,83
140,105
141,3242
142,98
143,94
144,1657
145,1681
146,1664
147,103
148,129
149,3183
150,76
151,1655
152,93
153,78
154,1659
155,80
156,76
157,65
158,69
159,60
160,80
161,90
162,1670
163,1664
164,89
165,76
166,1721
167,1703
168,3244
169,85
170,58
171,57
172,53
173,71
174,63
175,84
176,1679
177,76
178,88
179,1654
180,1618
181,152
182,86
183,75
184,95
185,106
186,3284
187,3293
188,150
189,1637
190,87
191,101
192,104
193,1706
194,1681
195,86
196,111
197,148
198,1672
199,1729
200,1646
201,92
202,114
203,1669
204,101
205,104
206,113
207,182
208,3255
209,1683
210,124
211,1697
212,121
213,162
214,1711
215,198
216,9635
217,162
218,1751
219,1701
220,3280
221,1695
222,116
223,103
224,106
225,1664
226,80
227,85
228,96
229,114
230,136
231,117
232,155
233,3265
234,1711
235,3346
236,1701
237,122
238,105
239,3297
240,1736
241,3304
242,113
243,111
244,126
245,1674
246,117
247,157
248,1675
249,132
250,167
251,1794
252,3267
253,144
254,1753
255,389
256,1553
257,3338
258,1735
259,248
260,5026
261,4835
262,138
263,1695
264,1730
265,124
266,103
267,130
268,132
269,130
270,157
271,3324
272,174
273,3326
274,1731
275,142
276,1747
277,1744
278,191
279,3324
280,1746
281,3279
282,134
283,146
284,1689
285,157
286,1693
287,133
288,135
289,138
290,1692
291,151
292,172
293,3308
294,160
295,1751
296,1732
297,142
298,1714
299,195
300,3278
301,122
302,147
303,1801
304,3296
305,138
306,1723
307,1734
308,3319
309,142
310,129
311,132
312,1714
313,138
314,1721
315,146
316,1698
317,126
318,105
319,153
320,1729
321,162
322,204
323,1787
324,3280
325,173
326,1696
327,163
328,1713
329,208
330,4863
331,134
332,143
333,160
334,174
335,4910
336,171
337,1740
338,235
339,1691
340,145
341,1784
342,1697
343,130
344,125
345,136
346,167
347,1713
348,132
349,140
350,131
351,193
352,3294
353,182
354,1769
355,3352
356,1716
357,146
358,164
359,1748
360,178
361,3311
362,187
363,1752
364,206
365,3372
366,3314
367,170
368,1782
369,200
370,1742
371,199
372,3353
373,1734
374,202
375,3334
376,1739
377,143
378,151
379,1744
380,193
381,1755
382,155
383,1743
384,3308
385,156
386,151
387,190
388,3333
389,192
390,1735
391,186
392,1794
