count,duration
1,12.541999999999973
5,2.300000000000068
1,0.11199999999999477
1,11.139999999999873
461,0.45899999999999963
10,9.84
1,42.625
1,16.583999999999975
1,10.919999999999618
1,6.667000000000001
89,1.066999999999993
4,19.45300000000003
1,8.234000000000002
11,5.772999999999911
1,3.3840000000000146
3,19.06099999999998
7,4.565999999999974
131,0.041999999999916326
1,27.291999999999916
3,12.800000000000004
3,6.173000000000001
2,21.400000000000034
1,23.422999999999988
2,14.914
1,2.5169999999999995
4,27.59999999999991
166,2.378
18,5.040999999999997
1,22.266000000000076
2,3.6110000000000184
4,2.6500000000000057
3,8.407999999999998
1,21.132999999999925
2,18.31000000000006
1,24.90000000000009
1,21.239999999999952
1,10.845000000000013
126,2.520000000000003
186,3.23599999999999
3,3.8379999999999996
4,23.823999999999984
30,2.8670000000000044
4,14.306000000000004
1,26.080000000000155
1,3.5869999999999607
2,8.534000000000106
22,8.676000000000002
1,21.81899999999996
1,14.583
2,2.4499999999999886
4,7.575000000000017
13,9.802000000000021
4,19.43999999999994
20,9.04
78,0.5010000000000003
8,6.720000000000006
4,14.247
2,20.875
1,7.866000000000042
1,3.9199999999999995
1,2.767
1,11.565999999999995
6,24.400000000000002
9,27.960000000000036
130,2.665999999999997
2,3.7089999999999996
2,21.322000000000116
1,3.779999999999987
234,1.8019999999999996
7,14.948000000000093
1,1.570999999999998
1,6.25100000000009
14,12.387
22,8.049999999999997
9,12.879999999999999
2,9.427000000000021
1,0.23000000000000043
12,0.935
30,1.7919999999999732
2,5.505999999999993
1,6.033999999999878
31,7.174000000000035
1,16.392000000000003
5,9.593
1,44.400000000000034
2,2.0679999999999907
6,2.202000000000055
1,9.319999999999709
4,0.703000000000003
21,8.519999999999996
2,9.427
61,6.080000000000041
647,2.079999999999984
9,0.8349999999999991
1,5.296999999999983
1,2.8530000000000655
59,3.1600000000000037
1,4.660000000000025
4,11.83299999999997
1,20.02
83,1.9609999999999843
87,0.47999999999999865
1,21.354000000000006
4,23.400000000000034
908,0.10000000000000142
1,29.612999999999943
21,7.54099999999994
1,3.5659999999999172
1,16.05800000000005
