start,end,text
1.92,11.16, ornamental
12.63,154.29, ornamented running twenty nine years ago my running and meditation have always gone together meditation such a natural thing everybody has meditated before he pathankot when you were at the ocean and the sun was rising reverie woods and it was all brannerton misty and peaceful that's meditation i try to go into my heart and i tried to not focus on my mind thoughts and so forth but just pokanoket qualities that i want to bring forward in myself and positive things when you get to the point where you can focus your mind and really just concentrate then meditation is like an expansion siangtan people in marathon seems like a very long distance a lot of people who run no baudricourt one hundred miles since since depilation running to longer run a week at least two hours and warm the other days had been running more like forty five minutes
154.95,162.0, a lot of the training with really long village was like training for the mind to get away from the fear of distance
162.69,169.11, i need to gain some way before the race i have a little over a month and i may again about seven pounds
169.38,174.9, i try to start a little heavier because he was a lot of weight during the race
178.35,182.64, i 
183.42,185.97, he
186.24,246.0, the organ me the name for the store when i first opened it i just came up with my own name to start we called it visions of beauty she can mice by my shop and gave us that name and were always trying to live up to it because it's a big maid transcendent perfection wisedome it became like a spiritual journey when i run the race there's always different interchanges medication is kind of a combination of inner and outer running is so much a part of you is like your life
247.8,280.23, hesitation
280.26,300.24, it was continued meanwhile
300.51,304.14, to
304.29,323.52, aerostation or of the self transcendence thirty one hundred miles boracic is the one certified orangeist race in the world
323.88,326.16, i'd like to this here will be
326.28,358.23, special in a way because he timewell no longer be visiting us and so forth because he passed away october bigorre low the thirty one hundred moralities to visit the race and so overrun is open he tried by his own small concordat he had constantly cheering on his eye this is our tolerate race of the one as long as i'm raised directorate hopefully i continue after that i think it will be a matter of
358.65,362.97, of going a little deeper inside in our meditation and
363.06,366.09, of feeling his blessings
366.33,540.99, inwardly i really feel that his spirit will be there noiselessly reconciliation period she was ranters thousand eight hundred one miles around the third one hundred mile race course after toinette hundred miles and the original twenty seven hundred miles a pretty good running operato be able to start the race on sunday a great great calamity is cooperating for i definitely know what i'm in for you know having done it so many times but yet i do i guess i do have some confidence i mean is more for me like i have faith somehow that the gods graceful carrying me through his always always worked out that way before tattooed this or i would sanction you have come into two months spend all this money to take a time or suffer and then get on now in the many a pat on the back in the trophies the while at any interrogatories aberdeenshire oeernitatis starter the supreme center she has a letter finished in this race information with a personal misfortune his fourteen hours supernaturalism is gooyeanawannah one lap out of time
541.05,546.69, get there and think only god after one sixty miles to because it's a seems overwhelming
546.69,549.72, but if you just coming in just happens
550.47,564.54, etiennette my train forty seven with had a forty seven mile race
564.69,567.0, august at the time of his birth day
567.15,569.25, yes i would do that race
570.81,577.77, at one point he started weight lifting with an eight months he did two hundred pounds with one arm
579.0,582.9, for people who know about weight lifting apparently this is really incredible
583.44,605.64, he were inspired some of us on a maritime to have a two hundred bottles to celebrate his titanic i had a really powerful experience i enjoyed a lot every tiny mile that i completed a chanted gratitude twenty times and actually i came in second over all
607.68,614.82, one point she only wanted to increase the distance so he added a race that was two thousand seven hundred miles
615.84,622.38, twenty seven was a special number where she can one he was born on august twenty seven
624.42,629.01, the end of that race he said next year the race will be four hundred miles longer
629.82,642.75, entreatance listened dietetical fifty four and undulatory
