start,end,text
0.96,12.87, he 
17.88,89.37, etiennette
96.39,101.67, i 
128.49,129.78, he
131.34,282.27, delightsomeness oeernitatis etiennette
283.92,321.0, haiatalnefous
326.88,344.4, entertainments
344.46,471.27, i am astonished condensation commentators goetterdaemmerung
472.71,503.13, here we have a local bard watcher looking at beds from a far through his one eye binoculars as he gazes out to the distance he spots abominate eagle and he smiles to himself and says i gettin gateshead is out
505.89,667.11, marionettes in the cottonwoods notwithstanding aneantissement
668.79,679.44, tatiana
684.96,751.77, he
752.34,759.81, i 
