start,end,text
0.03,5.4, he was one 
5.64,41.34, boatswain too if you can or as a goodheartedness reclined
41.34,44.52, it
46.86,136.83, roll up at antoinette battersleigh one theresienstadt aonalaschkae literature
137.16,151.29, i misericordiae
151.56,160.89, ensued
161.46,167.91, what have
169.77,188.7, aireyholme up the catlike one
188.73,199.35, the weather
199.35,208.59, teiresias
209.61,238.89, oionoistike but homoeopathic widened
238.89,261.51, insinuation was that on no wise what position to contaminate
261.54,301.14, i potentialities easeless antoinette antoinette also
301.2,322.5, i like that alone
322.5,343.59, olivier to fanaticism energies dissipating the alemanni
343.62,356.34, but the bacteriologists
363.0,378.54, there are just as teratological toinon
378.69,417.24, i faintheartedness widowerhood opinionated
420.18,443.22, when i esmeralda 
445.17,453.27, nicolaia
455.52,477.39, rational trepidation including
477.63,481.62, a a
493.38,497.34, i 
497.85,498.84, he
502.86,509.82, i 
518.52,548.46, i woolloomooloo tattered
548.76,553.41, at
553.41,592.26, hooratookie sardonically 
593.46,620.76, oconostota the anxious onotowatishika teetotaler
621.87,632.55, those relations neresevich
633.78,636.87, the more
637.23,650.49, he earned
650.61,657.78, oratorios in
667.83,681.63, theaetetus
681.63,690.48, caesar
693.54,697.32, honorable
697.56,712.02, i itineration
713.67,722.49, i am ontological
726.66,737.67, that consolation barometer
741.63,750.12, i at
751.53,787.89, at the oneirocritical apotheosis 
787.92,798.03, either
798.45,809.85, the location
815.52,817.65, for
817.68,819.99, no one
820.41,880.14, antoinette ooseemeemou
880.47,883.47, peter
889.98,892.44, i was going let
894.45,914.76, i cooerdination
914.85,927.42, sometimes
927.99,931.35, then
937.08,938.07, so
938.1,973.62, he cotemporaries ontological gooroomahashoy
983.76,995.43, i intend weathered
996.51,1001.1, this is not like my silent
1002.27,1015.02, oenothera
1016.13,1059.06, totantora waeinaemoeinen was wide
1059.6,1065.48, i almost
1065.57,1066.83, he
1068.18,1070.25, taking a power one
1070.49,1072.71, intention
1077.57,1078.71, i
1092.51,1130.07, he aestheticians abolitionists
1131.03,1158.42, tabernacles
1159.08,1165.44, ten
1168.83,1179.3, alyosha
1180.86,1196.13, the oration
1196.25,1203.09, tatiana
1203.24,1207.98, the 
