start,end,text
0.21,2.64, think about it people remember
3.57,5.13, people remember
5.76,62.67, a division hesitation presentation to stetson hat the elevation eigenbroetlerin tory instreaming this
62.79,105.24, well i had procellarum here totally in cramming this oh tautog and threw two or closet had a septentrionale peritonitis abiogenesis
106.2,109.98, oh it is free
110.49,117.45, to some one who soon be free
119.01,126.21, soon watching it in the house and fortune elsewhere
126.36,156.33, in at getting to know otter my extra glasses are coetaneous the adamantine calyptomena wait and some without therefore
156.45,187.29, don't you lie gateshead in your saturnalia lasted cataracts that i then to be told
187.35,196.29, and in that big canandaigua here on monosyllabic
196.38,212.25, the transient
