start,end,text
13.56,34.98, he 
35.94,99.42, one toorenenbergen eenamost
107.55,141.69, the maeandrinas
141.84,146.73, he
147.18,182.19, i see
186.18,198.12, he 
199.29,210.66, he 
210.69,219.39, he teetered
219.63,234.75, the panel
235.32,256.77, etiennette
256.92,259.98, he
325.62,335.4, he
336.33,378.81, i will up and down the steps i ran into your arms you clean my dress and hair mass blue brilliant alarmed into my ears and had something were seeing when you turn your eyes to me tell me by believe in everything you see believe
394.86,470.07, and do we safely got the better she she tantalised of torpedoes wellenshausen distraction
497.73,526.86, he
528.21,538.38, he
538.47,539.64, he
