start,end,text
3.78,20.1, you the man to feel the pioneers and mintakutemanne epilogue i just let allen
20.64,23.94, no one would find that opinion
24.42,27.06, the
27.12,31.11, there
33.06,49.26, eyoape were fine young gentleman can get some fine young dick
51.6,61.29, we we can't go
62.07,63.39, i mean
63.39,64.77, go
65.16,66.93, four guys
66.99,78.48, we happened on the wise routously my watery what you indolent
78.96,101.31, the back
101.49,103.95, in the john are you sure
104.1,105.78, no god wasn't there
106.5,110.31, when i do wait
110.55,113.46, i can call the guy roger
114.45,117.75, he smelled like tone
118.65,127.14, the
127.86,130.77, he pointed
130.8,134.25, apelles
136.65,142.86, doing anything important if that's what think we're just hanging out you also but do you abeyance
142.92,150.51, a fine guys with roger are you there's no need at escalate the seacoast onosander
150.57,156.9, you here arter you million mister germaine aided
157.2,159.12, roger was there first when you weren't
160.23,166.62, you guys go to fiesole i'm a cut your man but i would secondthought
171.24,179.67, on coins asiatic you you bet you begin go friend for all unreal you telepath
180.78,189.18, when you can join at itigailit nothing with elisha to without ejecting his
189.36,191.37, tournee red
191.52,193.2, we read
193.71,198.51, well orace he coffee beans or kidney beans
198.78,204.21, not going to pick up my hair shawanoe so next time you go in you could slip
204.24,205.95, and i
206.28,207.69, actually does
207.69,214.17, really going to die what's not it's not real good if he
214.26,224.4, for what we nomatterwhat
224.52,225.96, with an
226.53,227.79, one
232.05,234.51, realestate
245.28,253.71, into
