start,end,text
74.7,77.43, i ascended
80.55,83.25, i may lie
83.52,97.77, meissonier teetotalism
101.79,138.45, oh
138.87,175.35, anne
175.35,182.58, he 
183.6,188.73, what anathemas in tatters
189.96,201.6, the more than one depending for tantalised apostasies confederate
201.87,203.91, to
204.24,209.58, he would orientating countess he atones banalities
210.12,218.76, bloomerly forevermore pescatore
220.98,225.69, stonehouse telecamera less than a
231.12,233.01, nasty said no
233.1,239.04, i must be a hideous noise beam manitoshaw
239.43,242.82, silius put it better aruntius
243.39,244.98, the 
245.04,247.38, that is more
249.96,264.0, i ototachibana to armitage
266.85,284.4, he
284.79,356.79, teetotalers
360.06,364.95, he
365.76,369.96, he
370.68,410.85, he anathematised teetotaller 
421.35,429.93, he
431.01,437.58, he
437.91,440.16, he
441.12,451.17, he
451.23,459.21, he
472.32,482.13, aaron
484.83,498.3, i announce
500.67,502.35, ten
502.59,504.69, i at
522.93,527.25, the other team
527.34,528.57, as
528.84,534.78, loathesome hesitate cigarette
536.91,552.6, but the meteorite pomeranian
557.34,570.66, i 
573.57,577.02, he
578.22,585.12, i 
600.51,607.62, earth
614.25,618.33, obedience
618.99,622.17, agitation having gone
622.38,623.52, i've been to
623.73,627.33, attainment
627.57,634.32, but i seamstresses one
635.79,639.21, it alienated
639.75,642.3, i got over things as noon
643.35,648.03, i think you know i mean a sissy
648.93,650.76, i 
651.21,654.63, as we ministers
657.39,661.11, is not the bitsinmagir
671.04,678.99, i 
679.02,686.37, he can
686.58,692.46, is it an thinkin
692.49,700.89, but his
702.09,714.36, it is a peninsula is as the holy estacado semitransparent
714.99,720.78, statement to otaheitan
720.81,724.08, it tore
741.48,764.43, he masticates the olifant pathetically and coleman
764.43,767.97, the colossian incessantly
769.08,773.19, yes i put it between
774.99,781.35, to say as he could bear afore comin
781.41,789.36, i 
799.02,803.64, is is competition he was savage
806.19,809.73, anastasia
813.54,815.85, a medical
816.69,819.9, listen
819.96,822.24, antisthenes
823.2,826.38, inestimable
826.86,830.61, sometimes
840.9,847.02, you disbelieve
847.71,850.17, he on
850.38,852.57, necessarily
854.34,856.89, you mistaire
856.95,861.03, for the thought that i did it contentedly
861.87,864.33, that was one alleviation
865.32,868.8, i was considered a beast
872.25,877.02, i miss the osages political and the hopeless
877.08,878.82, i think 
879.63,882.42, i wished then
882.45,884.01, he cites
885.21,889.89, it ominously they filed
890.04,893.13, to savinien
894.15,901.41, the astonished at cape
901.5,904.98, as he elopement in alone
905.82,907.95, a fine
913.62,921.36, and ericson
921.66,926.37, he ate what is revelation is
929.34,934.68, he and fragile
935.04,943.29, he tentatively in the innishannon punishment
945.12,950.43, sancho there was hate
975.66,1008.15, oh 
1016.7,1023.63, i 
1050.48,1055.61, hesitates
1065.63,1068.42, he loosened
1070.97,1074.69, he lanisterre
1079.76,1083.93, ostentation whereas that 
1088.22,1095.09, but in a embasicetas
1100.55,1103.97, oh yes emendation
1104.51,1110.72, if he impatiently anemones the reason
1111.26,1114.08, i always outlined
1115.13,1117.05, lady
1118.7,1121.31, i 
1125.87,1128.36, yourself
1128.54,1130.28, i 
1132.38,1136.31, it was a feeling
1137.39,1139.94, the tea
1146.57,1148.13, the note
1148.64,1154.13, he arose
1154.19,1165.62, tea
1166.28,1172.82, i 
1185.78,1188.36, he 
1188.45,1189.8, keep the
1191.99,1196.49, i say the maidenhead burmeister
1197.39,1199.79, master
1201.32,1203.63, the senator
1204.95,1206.84, unity had
1209.72,1211.46, anon
1211.88,1213.29, a
1214.61,1216.92, scattered
1216.98,1219.89, communication divisional
1220.94,1222.98, the sale
1226.07,1229.73, i never see thomasine
1229.82,1233.15, serracauld really amiss
1233.87,1235.94, cousinenry
1236.87,1238.79, he not 
1239.33,1242.24, the chilkoot
1242.27,1244.4, our
1244.55,1245.96, but i
1293.6,1302.03, he
1310.79,1312.62, he
1314.09,1321.14, he
1340.55,1350.66, he
1378.14,1382.67, he
