start,end,text
2.55,36.12, eaton
36.39,73.5, i sectional
73.83,75.15, she sold
75.3,83.34, conclusion dismally in recommend to him later to be peter
83.64,96.0, tinnunculus smoke 
96.6,105.12, i ate
105.33,114.06, tintoretto desperate similar duties in a pot for the community from cleopatra
114.33,118.17, she botanising santa
118.44,122.76, a dog of shoulder
122.79,132.99, he sonorities
133.05,147.99, it's all obeisance shoestrings out the chinese to the head amateur for identity and
147.99,152.49, fantastical delineated
152.55,181.74, as to mishandling a super held to his montecitorio concealed in new the star was to all the simeonite monotremata are in harmonious to the continent looked at his clamoring of the sovereignity yet were here
182.1,201.6, it fontinettes astrogation lances the hymeneal vacillation of tone or fashioning
203.43,207.78, i may order
208.98,215.25, mister wilder and magsie go to blockade
215.4,221.49, misinterpretation then absent in the reflected hold
223.41,234.81, the street she could carboniferous atyaseronne telephone talk much tablet
234.87,238.53, i that
238.89,247.5, berthe smear her on the fortune to certitude that mischief to
247.8,251.22, he meditates
253.14,266.16, look in necessary
266.58,275.1, i can
275.31,283.77, the 
284.04,301.41, i 
